platform,comment_id,username,content,like_count,reply_count,create_time,ip_location,sentiment
bilibili,286045088016,睡觉记得做梦,对的冬天听凛冬是对的,195,3,2025-12-21 18:39:24,,positive
bilibili,284047735713,小奚唱片,我还以为把hardcore老英雄都集结来了[doge]合着就k院长和法老俩[doge],106,2,2025-12-21 18:32:25,,neutral
bilibili,286041654112,铅笔喵喵呐,法老我喜欢你[Ave Mujica_愉快],76,4,2025-12-21 18:06:07,,positive
bilibili,286835263472,阿王无敌,年年都是你[大哭],64,1,2025-12-29 13:54:33,,negative
bilibili,284698557169,食用说明,"10.1~11.7晚自习随笔
Hook:
窗外的世界怎么 除了黑 就是灰
想要去反驳可是他们 说的话 就是对
是不是跳的足够高双 脚离地 就是飞
戴上耳机不 肯摘下 就只为 就只为  远离那些是非
Verse1:
没那么幸福也没那么可悲
装满人的地铁捎上我和我的疲惫
肿瘤医院A口天上只有无尽的黑
我不停的追
可书包压垮我的脊背
跑的慢
就连绿灯都是抓不住的机会

他们想着未来能在市五所过
反观我没梦想现在事无所获
积水里的影子怎么如此落魄
随着轮胎压过 他变得扭曲渐渐落寞

清醒的堕落才叫做失败
我忙碌的样子真有点失态
为曾经的那个好学生默哀
可现在这个样子是我活该

没怎么得到过信任和安慰
所以我习惯了自愈的快
收敛我的极端性格装自己很和蔼
真实的我活在伴奏活在自己的热爱
So in the night
惰性把我打倒 放空我的大脑
音乐提供镇静 放松我的神经
这时没人不识趣的按响我的门铃
So in the time
不需要再摆出礼貌态度
装作麻木其实我对什么都很在乎
常在河边走为他人把好心情摆渡
咽进肚子里的话却像是中药实在太苦
Hook:
窗外的世界怎么 除了黑 就是灰
想要去反",49,3,2025-12-28 14:33:16,,negative
bilibili,284064929441,巳阳Rose,这是全开麦还是半开麦有垫音的，感觉不像全开麦,24,5,2025-12-21 21:29:10,,neutral
bilibili,286043118304,見君常樂,台下观众这么淡定的吗,21,4,2025-12-21 18:21:04,,neutral
bilibili,286059672864,如慕戏,可以呼吸[doge_金箍],14,9,2025-12-21 21:03:42,,neutral
bilibili,285167647729,落可纳,法老爷爷你啥时候考虑和沙一汀EL合作啊？[大哭][大哭][大哭],11,1,2026-01-02 01:36:12,,positive
bilibili,284060231425,咖啡居士KingWise,法老是懂冬至的,11,0,2025-12-21 20:42:26,,positive
bilibili,284053167329,jfienhkjre,好像不太对啊，声音更大的那一轨跟原唱一点差别都没有，不会声音更小的那一轨是法老唱的，全程在给音频backup吧[doge],11,1,2025-12-21 19:27:52,,neutral
bilibili,286142594368,壳壳微卡,这好像是我印象中听的第一首rap，听的活死人版的，《春暖花开》,9,0,2025-12-22 18:59:43,,positive
bilibili,286042937008,陆港首帅,新编曲是对的[星星眼],6,0,2025-12-21 18:19:17,,positive
bilibili,286042007152,方方圆圆OwO,冬至快乐呀，正好朋友圈想转发这首歌呢。,6,0,2025-12-21 18:09:23,,positive
bilibili,284054733425,神奇的馒头阿,广州见！！！,5,4,2025-12-21 19:43:14,,positive
bilibili,286628515152,暖雪老弟还我存档,哥你的苦海无涯翻红了[大哭][大哭],4,0,2025-12-27 16:32:35,,positive
bilibili,284052657409,板檀,冬至就应该听凛冬将至,4,0,2025-12-21 19:21:52,,positive
bilibili,286274725600,粉色海豹王心宜,[25年度表情包_一][25年度表情包_起][25年度表情包_摸][25年度表情包_凹][25年度表情包_猫],3,1,2025-12-24 00:30:00,,neutral
bilibili,284234460577,柠七大王666,我会一直视奸你到你播魔兽世界的。👁️。,3,0,2025-12-23 20:03:50,,neutral
bilibili,284062128705,好焰焰焰,啥时候来西安[大哭][大哭][大哭],3,1,2025-12-21 21:00:51,,positive
bilibili,284056072753,傀儡师耀世,孙哥冬至快乐,3,0,2025-12-21 19:58:59,,positive
bilibili,286044813360,你们和他一起学,入坑曲[喜欢],2,0,2025-12-21 18:36:02,,positive
bilibili,284857461025,以归_Raline,气息封神了,2,0,2025-12-30 01:19:38,,positive
bilibili,284058944737,伊博QAQ,下一次巡演得等到什么时候，这次错过了[大哭],2,0,2025-12-21 20:28:19,,negative
bilibili,286064283008,小猪猪zJiE,下周六终于可以再见到k院长了~,3,3,2025-12-21 21:46:48,,positive
bilibili,289433392032,QoooooQl,这首真的是权力的游戏的官方合作推广曲吗？,1,0,2026-01-23 19:16:19,,neutral
bilibili,286197158864,橘柚zhen好吃,[25年度表情包_一][25年度表情包_起][25年度表情包_摸][25年度表情包_凹][25年度表情包_猫],1,0,2025-12-23 09:40:48,,neutral
bilibili,286075359504,这么草率嘛,[25年度表情包_坏笑][25年度表情包_伸手][25年度表情包_伸手][25年度表情包_伸手][25年度表情包_点个赞],1,0,2025-12-21 23:35:13,,neutral
bilibili,286065413680,大头鹅L,[25年度表情包_坏笑][25年度表情包_伸手][25年度表情包_戳一下][25年度表情包_点点][25年度表情包_问号],1,0,2025-12-21 21:58:25,,neutral
bilibili,286063133696,语格家的天原丨,[25年度表情包_一][25年度表情包_起][25年度表情包_摸][25年度表情包_凹][25年度表情包_猫],1,0,2025-12-21 21:36:28,,neutral
bilibili,286054557584,最贪吃的派蒙,[25年度表情包_一][25年度表情包_起][25年度表情包_摸][25年度表情包_凹][25年度表情包_猫],1,2,2025-12-21 20:13:37,,neutral
bilibili,286043732688,Merlin-BAI,NikeNikeNike奶,1,0,2025-12-21 18:27:08,,neutral
bilibili,286042254880,方方圆圆OwO,法老铁肺,1,0,2025-12-21 18:11:58,,positive
bilibili,286041297104,富有魅力的Youngboy,咋搞这么帅,1,0,2025-12-21 18:02:36,,positive
bilibili,284168401633,绯星坠诸天,[25年度表情包_坏笑][25年度表情包_伸手][25年度表情包_戳一下][25年度表情包_点点],1,1,2025-12-22 23:41:16,,neutral
bilibili,284072873553,无尽ace,冬至快乐！！,1,0,2025-12-21 22:49:22,,positive
bilibili,284056119921,凉月海海,凛冬将至 又名 冬至,1,0,2025-12-21 19:58:29,,positive
bilibili,284055486385,爻乔,冬至快乐,1,0,2025-12-21 19:51:38,,positive
bilibili,284053551889,ProtostarY,冬至听凛冬将至,1,0,2025-12-21 19:31:24,,positive
bilibili,284050720289,初晴后雪的小号,53,1,1,2025-12-21 19:01:38,,neutral
bilibili,284049945153,下雨_-_-,我靠，这真屌啊,1,0,2025-12-21 18:54:42,,positive
bilibili,284045931041,叽里咕噜说啥呢233,冬天听点,1,0,2025-12-21 18:12:01,,neutral
bilibili,284045453585,_昭昭明月_,想生于未来，燥候广州场！,1,0,2025-12-21 18:07:17,,positive
bilibili,284045307921,慕溪酥禾,帅[星星眼],1,0,2025-12-21 18:07:19,,positive
bilibili,284045304305,席吾,帅！我们需要更多官摄！,1,0,2025-12-21 18:07:12,,positive
bilibili,284075810961,拉克_4real,小哑巴开嗓了[星星眼][星星眼],6,1,2025-12-21 23:19:02,,positive
bilibili,286070137712,我爱xuanasen,你只谈过一个，那一个是卡特曼还是蒋蒋啊？卡特曼我记得不止一周，蒋蒋是一周吗？[笑哭],3,2,2025-12-21 22:43:56,,neutral
bilibili,290093343568,aBlndo,这现场asen这辈子不能有,0,0,2026-01-29 18:36:42,,negative
bilibili,288393683072,奔跑的鸡腿菇,[热词系列_锤],0,0,2026-01-13 15:21:16,,neutral
bilibili,286959501280,鹤温,6,0,0,2025-12-30 18:52:49,,neutral
bilibili,286680439648,QoooooQl,来郑州呗,0,0,2025-12-28 00:29:28,,neutral
bilibili,286666741520,我爱xuanasen,【原来人上人pt2是Asen写给法老的情歌-哔哩哔哩】 https://b23.tv/VMbU90T,0,0,2025-12-27 22:25:34,,neutral
bilibili,286595413504,醉挽_清风_,不搞二番战你们风评还能比现在好不少，这路终究是你们自己选的嘛,0,4,2025-12-27 10:42:01,,negative
bilibili,286421372833,桀派Jip,喜欢你，立体的你,0,0,2026-01-14 21:46:27,,positive
bilibili,286205551296,啾星鸭,冬天开始听凛冬将至,0,0,2025-12-23 11:39:17,,neutral
bilibili,286179223952,下雨了亚_,冬天就要听凛冬将至！,0,0,2025-12-23 01:35:40,,neutral
bilibili,286163182432,老毕肖,[25年度表情包_猴],0,0,2025-12-22 22:24:32,,neutral
bilibili,286113313712,XM0zelY,顶,0,0,2025-12-22 12:51:51,,neutral
bilibili,286108005408,Super-Royal,[呲牙]很难跟唱,0,0,2025-12-22 11:53:10,,neutral
bilibili,286079738624,zimuku,[25年度表情包_狗头][25年度表情包_送花],0,0,2025-12-22 00:22:16,,neutral
bilibili,286073549072,顽家丨,为什么感觉法老唱的时候有两个声音，感觉是放原曲一样,0,1,2025-12-21 23:15:53,,neutral
bilibili,286068653824,E-spirit,冬至快乐,0,0,2025-12-21 22:28:40,,neutral
bilibili,286068531456,E-spirit,法老！,0,0,2025-12-21 22:28:12,,neutral
bilibili,286058182064,斯基污呜呜,有点可惜嘴都被挡住了,0,0,2025-12-21 20:48:25,,neutral
bilibili,286057330384,dyzyfxfux,法老学会说唱没学会换气,0,0,2025-12-21 20:40:07,,negative
bilibili,286048796960,勿扰DND不枯real-yb,超级爽[星星眼],0,0,2025-12-21 19:16:47,,positive
bilibili,286048698272,永雏呴湿,气口在哪我请问了？,0,0,2025-12-21 19:15:37,,neutral
bilibili,286044340672,在誰的懷中會有感覺,前来支持[星星眼],0,0,2025-12-21 18:31:39,,positive
bilibili,286042733120,kkkkkkk77xxk,好耶,0,0,2025-12-21 18:16:31,,positive
bilibili,286042290256,URBBRGROUN-UB,前排,0,0,2025-12-21 18:12:59,,neutral
bilibili,286041869504,琴里kimi,好帥！！7分鐘前[打call],0,1,2025-12-21 18:07:42,,positive
bilibili,286041806080,老徐mmm,前排[吃瓜],0,0,2025-12-21 18:08:13,,neutral
bilibili,286041454240,鼬困了Ferret,好耶,0,0,2025-12-21 18:04:43,,positive
bilibili,286041440480,-Balanced-,[打call][打call][打call],0,0,2025-12-21 18:04:21,,neutral
bilibili,286041411232,想要改变命运,这是哪一场,0,0,2025-12-21 18:03:46,,neutral
bilibili,286041387760,昵称全部已存在我叫啥,帅,0,0,2025-12-21 18:03:05,,positive
bilibili,286041329120,是妳教会我离别,前排,0,1,2025-12-21 18:03:30,,neutral
bilibili,286041241296,云澈子,帅！！[打call][打call][打call],0,0,2025-12-21 18:03:22,,positive
bilibili,286041170512,瓜皮希希呀,牛逼,0,0,2025-12-21 18:01:24,,positive
bilibili,286041167968,小晗是个天才7,前前前,0,0,2025-12-21 18:01:20,,neutral
bilibili,286041160160,南木与,沙发！！,0,0,2025-12-21 18:01:08,,neutral
bilibili,286041155296,林鹿的夏天,太靠前了,0,0,2025-12-21 18:01:00,,neutral
bilibili,286041116816,_OopppoO_,好,0,0,2025-12-21 18:02:03,,neutral
bilibili,286041083984,摇凡星,前排,0,0,2025-12-21 18:01:09,,neutral
bilibili,286041013808,鲤鲤咯咯,哇哦🎉惊喜,0,0,2025-12-21 18:01:22,,neutral
bilibili,285203498737,我汤姆来了_,01:30,0,0,2026-01-02 13:18:57,,neutral
bilibili,285001223297,爱笑卓十一,想求同款衣服,0,0,2025-12-31 16:23:42,,neutral
bilibili,284597398081,柯mama,广州见,0,0,2025-12-27 16:13:11,,neutral
bilibili,284216550385,IcT0ry,k院长帅的 没有s杏舒服多了,0,0,2025-12-23 16:43:10,,neutral
bilibili,284164075569,一起向蒋丞选手学习,我生气了为什么八月份的歌单没有这个,0,0,2025-12-22 22:56:05,,negative
bilibili,284150871601,我是范仲淹大王,法老为什么疑似cos琉雀还要在前奏加一堆hu雅[大哭][大哭][大哭],0,0,2025-12-22 20:40:25,,negative
bilibili,284146643553,赖大牛7,[25年度表情包_坏笑][25年度表情包_ok],0,0,2025-12-22 19:55:23,,neutral
bilibili,284113440193,一只茂,牛的 这么帅,0,0,2025-12-22 12:52:13,,positive
bilibili,284072226881,自来自愈,真的牛,0,0,2025-12-21 22:42:22,,positive
bilibili,284063750321,hlooei,咋这么帅,0,0,2025-12-21 21:18:13,,positive
bilibili,284058141921,别让我做梦_,[25年度表情包_赞个点][25年度表情包_不太冷][25年度表情包_点个赞],0,0,2025-12-21 20:20:18,,neutral
bilibili,284057482401,屑温迪不会狙,帅啊[星星眼],0,0,2025-12-21 20:13:09,,positive
bilibili,284056905649,我叫日月日月,冬至快乐[星星眼],0,0,2025-12-21 20:06:19,,neutral
bilibili,284053331041,超级无敌贝利亚大王丶,26年还有哪里的巡演？,0,0,2025-12-21 19:29:33,,neutral
bilibili,284053055953,弓形虫如果,前排,0,0,2025-12-21 19:26:02,,neutral
bilibili,284051257793,昨日端木少羽,好冷啊[冷],0,0,2025-12-21 19:08:00,,negative
bilibili,284049188321,7只neko,[打call][打call][打call],0,0,2025-12-21 18:47:06,,positive
bilibili,284047005553,markeees,依旧,0,0,2025-12-21 18:24:57,,neutral
bilibili,284045711329,爱只剩空白,前排,0,0,2025-12-21 18:10:14,,neutral
bilibili,284045485585,JoKeR_0419,@徐骁宇DEAN_K K哥帅的！,0,0,2025-12-21 18:08:13,,positive
bilibili,284045154753,Shirley_琼,帅死了[星星眼][星星眼][星星眼],0,0,2025-12-21 18:04:57,,positive
bilibili,284044975473,发-小,前排,0,0,2025-12-21 18:02:29,,neutral
bilibili,284044929393,发-小,帅,0,0,2025-12-21 18:02:55,,positive
bilibili,284044890593,沉默小狗_,可以,0,0,2025-12-21 18:01:45,,neutral
bilibili,284044811441,Chen_brr,[doge],0,0,2025-12-21 18:01:41,,neutral
bilibili,284044806993,久久雪0,法老来了,0,0,2025-12-21 18:01:33,,neutral
bilibili,284044768721,4oe-,好耶,0,0,2025-12-21 18:01:08,,positive
bilibili,284044757409,牛马且白给776,哇哇哇,0,0,2025-12-21 18:00:50,,positive
bilibili,284277131889,我最喜欢青龙撵月光,法哥，我帮你抓内奸了，我是你古早粉丝[无限暖暖_毛线汪汪]@法老爷爷 ，jar还有八贼以及小李又是asen粉，又是digi粉，快点斩于马下。,1,0,2025-12-24 09:23:04,,negative
