platform,comment_id,username,content,like_count,reply_count,create_time,ip_location,source_title,source_url,source_author,relevance,relevance_score,info_type,key_info
douyin,7582261744417489713,心无杂念。,[赞][赞][赞],0,0,2025-12-11 00:08:07,山西,按摩还得看云海，趁着现在价格优惠，赶快来看看吧#养生spa #性价比高的足底按摩店推荐 #按摩放松 #人类高质量spa,https://www.douyin.com/video/7467477184605637907,35577580710,unknown,0,未知,
douyin,7606088506205586213,他说明天见,云海宁清小钰，我永远忘不了你们,0,1,2026-02-13 05:08:11,广西,以云海的视角打开S联赛 #QQ飞车手游官方赛事 #2025S联赛年度总决赛 #QQ飞车手游 #上飞车过个发周年 @RW.云海,https://www.douyin.com/video/7598188859847247529,飞车手游春生,unknown,0,未知,
douyin,7598228933259068160,梦回还海月,云海让我敬佩的不仅仅是他的技术，更是他在决赛对面赛点，同时局内名次落后却能一直稳住不失误的那种心态。当年那个英伦古堡落后那么大的距离，放到现在都是不可后追距离，但就是他这种不紧张，不失误，不放弃的心态，让他成功反超，并最后获得冠军，后面的让三追五，局局决赛0比2开局，都是这种心态让他一直创造奇迹，他的这种精神也一直激励着我，让我遇到困难一直不放弃，迎难而上。,51,3,2026-01-23 00:48:57,陕西,以云海的视角打开S联赛 #QQ飞车手游官方赛事 #2025S联赛年度总决赛 #QQ飞车手游 #上飞车过个发周年 @RW.云海,https://www.douyin.com/video/7598188859847247529,飞车手游春生,unknown,0,未知,
douyin,7601727249357161273,@道上都叫我杜阿杜,云海在QQ飞车手游里的地位就跟NBA里的乔丹一样，如果飞车里有名人堂，他一定是第一个进入的，大家都是巨星，但是他一定是最闪的那个星。,3,2,2026-02-01 11:04:11,内蒙古,以云海的视角打开S联赛 #QQ飞车手游官方赛事 #2025S联赛年度总决赛 #QQ飞车手游 #上飞车过个发周年 @RW.云海,https://www.douyin.com/video/7598188859847247529,飞车手游春生,unknown,0,未知,
douyin,7598198454254863141,Future.s,最高的山-rngm云海[流泪][流泪][流泪],21,5,2026-01-22 22:50:38,陕西,以云海的视角打开S联赛 #QQ飞车手游官方赛事 #2025S联赛年度总决赛 #QQ飞车手游 #上飞车过个发周年 @RW.云海,https://www.douyin.com/video/7598188859847247529,飞车手游春生,unknown,0,未知,
douyin,7604038673378444083,巴黎没有摩天轮,当时很喜欢看云海 上号就为了看他比赛 后来没他我基本就没看过了[流泪],8,2,2026-02-07 16:33:41,重庆,以云海的视角打开S联赛 #QQ飞车手游官方赛事 #2025S联赛年度总决赛 #QQ飞车手游 #上飞车过个发周年 @RW.云海,https://www.douyin.com/video/7598188859847247529,飞车手游春生,unknown,0,未知,
douyin,7608564793021612819,慕名而来xm,今天一天都没看到太阳。原来要到山顶上看。,0,0,2026-02-19 21:17:20,安徽,日出 云海 雾凇，我人生中的世纪几帧#黄山 #云海,https://www.douyin.com/video/7601865668791209317,Pray,unknown,0,未知,
douyin,7608060400073474831,岛屿 ´ᯅ`,山顶有住的地方吗,1,6,2026-02-18 12:40:04,江苏,日出 云海 雾凇，我人生中的世纪几帧#黄山 #云海,https://www.douyin.com/video/7601865668791209317,Pray,unknown,0,未知,
douyin,7605861404746236729,7010,昨天谁去了  发图看看,0,4,2026-02-12 14:26:48,湖南,日出 云海 雾凇，我人生中的世纪几帧#黄山 #云海,https://www.douyin.com/video/7601865668791209317,Pray,unknown,0,未知,
douyin,7608144382902387502,'zzz,@雨. 把钱准备好,0,4,2026-02-18 18:05:55,广东,日出 云海 雾凇，我人生中的世纪几帧#黄山 #云海,https://www.douyin.com/video/7601865668791209317,Pray,unknown,0,未知,
douyin,7608456367624651546,另一篇,我买的26号的竟然下雨 到底要不要去啊,0,4,2026-02-19 14:16:36,山东,日出 云海 雾凇，我人生中的世纪几帧#黄山 #云海,https://www.douyin.com/video/7601865668791209317,Pray,unknown,0,未知,
douyin,7582873781845279551,夜风,“从山脚到顶峰，每一步都是心灵的洗礼，每一处风景都令人叹为观止。”,1,5,2025-12-12 15:43:05,广西,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7604518926751712059,毕加索的狮子,请问这是哪个位置,1,0,2026-02-08 23:37:18,河南,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7578297302457402154,幸运儿,[赞][赞][赞][赞][赞][赞][赞],1,0,2025-11-30 07:44:01,云南,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7589503251525092154,宁静致远,此景只应天上有…,1,41,2025-12-30 12:28:49,湖南,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7582873858882552619,夜风,“十八盘如天梯直插云霄，石阶古道映历史，一步一景皆成画。”,1,1,2025-12-12 15:43:23,广西,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7602829555681919787,一把青,这机位很像云边有个小卖部的封面，谁懂？,16,0,2026-02-04 10:21:42,山东,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
douyin,7605999546989560634,东北,我们这大牛沟一年180多天都是云海[呲牙],6,1,2026-02-12 23:22:53,辽宁,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
douyin,7602878631887143695,好运年年,哪里的徐家沟啊,156,11,2026-02-04 13:32:08,江苏,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
douyin,7602869736024834857,用户6010904403549,这种云海  在云南 红河州    8 9  10  11  12月份  每天都有,66,6,2026-02-04 12:57:39,云南,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
douyin,7602560310654239547,青春时光机,我想带对门老王去一次[尬笑],6,2,2026-02-03 16:56:53,陕西,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
